company,year,average
AA11,2021,887.0
AA11,2020,827.0
AA11,2019,816.0
AA11,2018,761.0
AA11,2017,715.0
AA11,2016,659.0
AA11,2015,600.0
AA11,2014,574.0
AA11,2013,565.0
AA111,2021,887.0
AA111,2020,827.0
AA111,2019,816.0
AA111,2018,761.0
AA111,2017,715.0
AA111,2016,659.0
AA111,2015,600.0
AA111,2014,574.0
AA111,2013,565.0
AA12,2018,998.0
AA12,2017,952.0
AA12,2016,893.0
AA12,2015,865.0
AA12,2014,838.0
AA12,2013,780.0
AA121,2018,998.0
AA121,2017,952.0
AA121,2016,893.0
AA121,2015,865.0
AA121,2014,838.0
AA121,2013,780.0
AA14,2021,313.0
AA14,2020,316.0
AA14,2019,294.0
AA14,2018,280.0
AA14,2017,258.0
AA14,2016,235.0
AA14,2015,208.0
AA14,2014,186.0
AA14,2013,176.0
AA141,2021,313.0
AA141,2020,316.0
AA141,2019,294.0
AA141,2018,280.0
AA141,2017,258.0
AA141,2016,235.0
AA141,2015,208.0
AA141,2014,186.0
AA141,2013,176.0
AA21,2021,433.0
AA21,2020,411.0
AA21,2019,407.0
AA21,2018,371.0
AA21,2017,352.0
AA21,2016,301.0
AA21,2015,304.0
AA21,2014,299.0
AA21,2013,277.0
AA211,2021,433.0
AA211,2020,411.0
AA211,2019,407.0
AA211,2018,371.0
AA211,2017,352.0
AA211,2016,301.0
AA211,2015,304.0
AA211,2014,299.0
AA211,2013,277.0
AA31,2021,250.0
AA31,2020,241.0
AA31,2019,229.0
AA31,2018,222.0
AA31,2017,192.0
AA31,2016,174.0
AA31,2015,151.0
AA31,2014,155.0
AA31,2013,144.0
AA32,2015,977.0
AA32,2014,898.0
AA32,2013,857.0
BB,2021,629.0
BB,2020,659.0
BB,2019,694.0
BB,2018,644.0
BB,2017,615.0
BB,2016,665.0
BB,2015,712.0
BB,2014,698.0
BB,2013,749.0
CC15,2021,675.0
CC15,2020,697.0
CC15,2019,684.0
CC15,2018,621.0
CC15,2017,619.0
CC15,2016,607.0
CC15,2015,571.0
CC15,2014,536.0
CC15,2013,501.0
CC151,2021,675.0
CC151,2020,697.0
CC151,2019,684.0
CC151,2018,621.0
CC151,2017,619.0
CC151,2016,607.0
CC151,2015,571.0
CC151,2014,536.0
CC151,2013,501.0
CC21,2021,436.0
CC21,2020,437.0
CC21,2019,437.0
CC21,2018,432.0
CC21,2017,458.0
CC21,2016,465.0
CC21,2015,458.0
CC21,2014,437.0
CC21,2013,424.0
CC211,2021,318.0
CC211,2020,314.0
CC211,2019,315.0
CC211,2018,304.0
CC211,2017,319.0
CC211,2016,318.0
CC211,2015,313.0
CC211,2014,280.0
CC211,2013,270.0
CC212,2021,118.0
CC212,2020,124.0
CC212,2019,123.0
CC212,2018,128.0
CC212,2017,139.0
CC212,2016,147.0
CC212,2015,145.0
CC212,2014,157.0
CC212,2013,154.0
CC31,2017,945.0
CC31,2016,943.0
CC31,2015,918.0
CC31,2014,862.0
CC31,2013,803.0
CC311,2017,945.0
CC311,2016,943.0
CC311,2015,918.0
CC311,2014,862.0
CC311,2013,803.0
CC32,2021,445.0
CC32,2020,452.0
CC32,2019,439.0
CC32,2018,444.0
CC32,2017,424.0
CC32,2016,409.0
CC32,2015,398.0
CC32,2014,391.0
CC32,2013,418.0
CC321,2021,445.0
CC321,2020,452.0
CC321,2019,439.0
CC321,2018,444.0
CC321,2017,424.0
CC321,2016,409.0
CC321,2015,398.0
CC321,2014,391.0
CC321,2013,418.0
CC41,2021,402.0
CC41,2020,429.0
CC41,2019,446.0
CC41,2018,439.0
CC41,2017,443.0
CC41,2016,444.0
CC41,2015,457.0
CC41,2014,466.0
CC41,2013,440.0
CC411,2021,402.0
CC411,2020,429.0
CC411,2019,446.0
CC411,2018,439.0
CC411,2017,443.0
CC411,2016,444.0
CC411,2015,457.0
CC411,2014,466.0
CC411,2013,440.0
CC51,2021,251.0
CC51,2020,260.0
CC51,2019,246.0
CC51,2018,231.0
CC51,2017,230.0
CC51,2016,208.0
CC51,2015,194.0
CC51,2014,188.0
CC51,2013,181.0
CC511,2021,251.0
CC511,2020,260.0
CC511,2019,246.0
CC511,2018,231.0
CC511,2017,230.0
CC511,2016,208.0
CC511,2015,194.0
CC511,2014,188.0
CC511,2013,181.0
CC52,2021,699.0
CC52,2020,679.0
CC52,2019,663.0
CC52,2018,635.0
CC52,2017,606.0
CC52,2016,579.0
CC52,2015,534.0
CC52,2014,516.0
CC52,2013,511.0
CC521,2021,158.0
CC521,2020,161.0
CC521,2019,169.0
CC521,2018,169.0
CC521,2017,166.0
CC521,2016,160.0
CC521,2015,134.0
CC521,2014,131.0
CC521,2013,133.0
CC522,2021,176.0
CC522,2020,172.0
CC522,2019,164.0
CC522,2018,156.0
CC522,2017,148.0
CC522,2016,150.0
CC522,2015,152.0
CC522,2014,140.0
CC522,2013,135.0
CC523,2021,365.0
CC523,2020,346.0
CC523,2019,330.0
CC523,2018,309.0
CC523,2017,293.0
CC523,2016,269.0
CC523,2015,248.0
CC523,2014,245.0
CC523,2013,244.0
CC53,2021,775.0
CC53,2020,808.0
CC53,2019,798.0
CC53,2018,776.0
CC53,2017,758.0
CC53,2016,719.0
CC53,2015,738.0
CC53,2014,721.0
CC53,2013,700.0
CC531,2021,775.0
CC531,2020,808.0
CC531,2019,798.0
CC531,2018,776.0
CC531,2017,758.0
CC531,2016,719.0
CC531,2015,738.0
CC531,2014,721.0
CC531,2013,700.0
CC61,2021,631.0
CC61,2020,618.0
CC61,2019,595.0
CC61,2018,558.0
CC61,2017,550.0
CC61,2016,562.0
CC61,2015,524.0
CC61,2014,519.0
CC61,2013,479.0
CC611,2021,631.0
CC611,2020,618.0
CC611,2019,595.0
CC611,2018,558.0
CC611,2017,550.0
CC611,2016,562.0
CC611,2015,524.0
CC611,2014,519.0
CC611,2013,479.0
CC71,2021,476.0
CC71,2020,478.0
CC71,2019,446.0
CC71,2018,437.0
CC71,2017,430.0
CC71,2016,448.0
CC71,2015,463.0
CC71,2014,493.0
CC71,2013,428.0
CC711,2021,476.0
CC711,2020,478.0
CC711,2019,446.0
CC711,2018,437.0
CC711,2017,430.0
CC711,2016,448.0
CC711,2015,463.0
CC711,2014,493.0
CC711,2013,428.0
CC81,2021,794.0
CC81,2020,916.0
CC81,2019,869.0
CC81,2018,832.0
CC81,2017,779.0
CC81,2016,751.0
CC81,2015,760.0
CC81,2014,727.0
CC81,2013,750.0
CC811,2021,794.0
CC811,2020,916.0
CC811,2019,869.0
CC811,2018,832.0
CC811,2017,779.0
CC811,2016,751.0
CC811,2015,760.0
CC811,2014,727.0
CC811,2013,750.0
CC821,2020,996.0
CC821,2019,908.0
CC821,2018,876.0
CC821,2017,831.0
CC821,2016,776.0
CC821,2015,768.0
CC821,2014,726.0
CC821,2013,708.0
CC822,2014,915.0
CC822,2013,908.0
CC91,2021,552.0
CC91,2020,532.0
CC91,2019,506.0
CC91,2018,492.0
CC91,2017,474.0
CC91,2016,438.0
CC91,2015,415.0
CC91,2014,396.0
CC91,2013,384.0
CC911,2021,358.0
CC911,2020,349.0
CC911,2019,332.0
CC911,2018,327.0
CC911,2017,316.0
CC911,2016,293.0
CC911,2015,279.0
CC911,2014,268.0
CC911,2013,264.0
CC912,2021,194.0
CC912,2020,182.0
CC912,2019,174.0
CC912,2018,164.0
CC912,2017,158.0
CC912,2016,145.0
CC912,2015,136.0
CC912,2014,127.0
CC912,2013,120.0
DD11,2018,980.0
DD11,2017,931.0
DD11,2016,913.0
DD11,2015,856.0
DD11,2014,819.0
DD11,2013,785.0
DD12,2021,588.0
DD12,2020,556.0
DD12,2019,504.0
DD12,2018,478.0
DD12,2017,449.0
DD12,2016,409.0
DD12,2015,372.0
DD12,2014,347.0
DD12,2013,327.0
EE113,2018,966.0
EE113,2017,883.0
EE113,2016,788.0
EE113,2015,745.0
EE113,2014,680.0
EE113,2013,624.0
FF111,2013,992.0
FF113,2021,607.0
FF113,2020,628.0
FF113,2019,593.0
FF113,2018,560.0
FF113,2017,521.0
FF113,2016,490.0
FF113,2015,457.0
FF113,2014,427.0
FF113,2013,393.0
FF116,2021,272.0
FF116,2020,265.0
FF116,2019,265.0
FF116,2018,240.0
FF116,2017,222.0
FF116,2016,201.0
FF116,2015,178.0
FF116,2014,161.0
FF116,2013,149.0
GH11,2014,987.0
GH11,2013,951.0
GH132,2017,998.0
GH132,2016,911.0
GH132,2015,887.0
GH132,2014,858.0
GH132,2013,868.0
GH133,2021,898.0
GH133,2020,896.0
GH133,2019,839.0
GH133,2018,786.0
GH133,2017,728.0
GH133,2016,703.0
GH133,2015,662.0
GH133,2014,633.0
GH133,2013,593.0
GH134,2019,964.0
GH134,2018,940.0
GH134,2017,887.0
GH134,2016,878.0
GH134,2015,835.0
GH134,2014,791.0
GH134,2013,759.0
GH135,2021,268.0
GH135,2020,230.0
GH135,2019,237.0
GH135,2018,228.0
GH135,2017,214.0
GH135,2016,194.0
GH135,2015,175.0
GH135,2014,158.0
GH135,2013,133.0
GH211,2021,997.0
GH211,2018,999.0
GH211,2017,937.0
GH211,2016,825.0
GH211,2015,725.0
GH211,2014,724.0
GH211,2013,711.0
II131,2021,615.0
II131,2020,593.0
II131,2019,603.0
II131,2018,572.0
II131,2017,561.0
II131,2016,633.0
II131,2015,623.0
II131,2014,635.0
II131,2013,643.0
II133,2021,344.0
II133,2020,317.0
II133,2019,303.0
II133,2018,287.0
II133,2017,264.0
II133,2016,251.0
II133,2015,234.0
II133,2014,226.0
II133,2013,224.0
KK,2021,259.0
KK,2020,279.0
KK,2019,282.0
KK,2018,301.0
KK,2017,309.0
KK,2016,289.0
KK,2015,281.0
KK,2014,290.5
KK,2013,276.0
KK11,2015,25.5
KK11,2014,27.5
KK11,2013,27.0
KK112,2021,213.0
KK112,2020,210.5
KK112,2019,187.5
KK112,2018,187.0
KK112,2017,195.5
KK112,2016,224.5
KK112,2015,219.0
KK112,2014,186.5
KK112,2013,176.0
KK12,2021,618.5
KK12,2020,640.0
KK12,2019,629.5
KK12,2018,682.5
KK12,2017,682.0
KK12,2016,677.0
KK12,2015,656.0
KK12,2014,650.5
KK12,2013,574.0
KK121,2021,169.5
KK121,2020,199.5
KK121,2019,205.0
KK121,2018,238.5
KK121,2017,220.5
KK121,2016,211.0
KK121,2015,199.5
KK121,2014,202.0
KK121,2013,192.0
KK122,2021,449.5
KK122,2020,440.0
KK122,2019,424.5
KK122,2018,444.0
KK122,2017,462.0
KK122,2016,466.0
KK122,2015,456.5
KK122,2014,448.5
KK122,2013,382.5
KK13,2015,5.5
KK13,2014,12.0
KK13,2013,35.5
KK131,2015,5.5
KK131,2014,12.0
KK131,2013,35.5
LL,2013,413.0
LL11,2021,465.0
LL11,2020,495.5
LL11,2019,470.0
LL11,2018,425.5
LL11,2017,379.0
LL11,2016,367.5
LL11,2015,332.5
LL11,2014,301.5
LL11,2013,293.0
LL111,2021,371.0
LL111,2020,408.0
LL111,2019,392.0
LL111,2018,351.5
LL111,2017,312.5
LL111,2016,302.0
LL111,2015,276.5
LL111,2014,250.0
LL111,2013,240.0
LL112,2021,94.0
LL112,2020,87.5
LL112,2019,78.0
LL112,2018,74.0
LL112,2017,66.0
LL112,2016,65.5
LL112,2015,56.0
LL112,2014,51.5
LL112,2013,53.5
LL12,2014,482.0
LL12,2013,891.0
LL122,2021,398.0
LL122,2020,394.5
LL122,2019,386.0
LL122,2018,335.0
LL122,2017,330.0
LL122,2016,292.0
LL122,2015,257.0
LL122,2014,209.0
LL122,2013,197.5
LL123,2020,491.5
LL123,2019,473.5
LL123,2018,432.0
LL123,2017,420.0
LL123,2016,387.0
LL123,2015,322.5
LL123,2014,273.0
LL123,2013,693.5
MN114,2021,598.0
MN114,2020,575.0
MN114,2019,534.0
MN114,2018,495.0
MN114,2017,449.0
MN114,2016,413.0
MN114,2015,394.0
MN114,2014,360.0
MN114,2013,344.0
MN211,2021,247.0
MN211,2020,445.0
MN211,2019,444.0
MN211,2018,407.0
MN211,2017,372.0
MN211,2016,339.0
MN211,2015,342.0
MN211,2014,324.0
MN211,2013,314.0
MN213,2014,973.0
MN213,2013,956.0
OO,2021,881.0
OO,2020,805.0
OO,2019,726.0
OO,2018,683.0
OO,2017,653.0
OO,2016,597.0
OO,2015,531.0
OO,2014,481.0
OO,2013,496.0
OO21,2021,881.0
OO21,2020,805.0
OO21,2019,726.0
OO21,2018,683.0
OO21,2017,653.0
OO21,2016,597.0
OO21,2015,531.0
OO21,2014,481.0
OO21,2013,496.0
OO213,2021,881.0
OO213,2020,805.0
OO213,2019,726.0
OO213,2018,683.0
OO213,2017,653.0
OO213,2016,597.0
OO213,2015,531.0
OO213,2014,481.0
OO213,2013,496.0
PP111,2021,942.0
PP111,2020,892.0
PP111,2019,855.0
PP111,2018,818.0
PP111,2017,778.0
PP111,2016,707.0
PP111,2015,639.0
PP111,2014,624.0
PP111,2013,602.0
PP112,2021,414.0
PP112,2020,389.0
PP112,2019,381.0
PP112,2018,365.0
PP112,2017,349.0
PP112,2016,346.0
PP112,2015,331.0
PP112,2014,291.0
PP112,2013,289.0
PP113,2021,398.0
PP113,2020,394.0
PP113,2019,397.0
PP113,2018,379.0
PP113,2017,366.0
PP113,2016,332.0
PP113,2015,325.0
PP113,2014,308.0
PP113,2013,293.0
PP114,2021,651.0
PP114,2020,671.0
PP114,2019,627.0
PP114,2018,593.0
PP114,2017,567.0
PP114,2016,537.0
PP114,2015,519.0
PP114,2014,457.0
PP114,2013,434.0
QQ111,2021,500.0
QQ111,2020,476.0
QQ111,2019,437.0
QQ111,2018,403.0
QQ111,2017,419.0
QQ111,2016,401.0
QQ111,2015,356.0
QQ111,2014,346.0
QQ111,2013,333.0
RS111,2020,261.0
RS111,2019,264.0
RS111,2018,259.0
RS111,2017,236.0
RS111,2016,225.0
RS111,2015,210.0
RS111,2014,203.0
RS111,2013,189.0
RS112,2021,967.0
RS112,2020,995.0
RS112,2019,895.0
RS112,2018,853.0
RS112,2017,825.0
RS112,2016,767.0
RS112,2015,731.0
RS112,2014,709.0
RS112,2013,706.0
RS113,2020,310.0
RS113,2019,309.0
RS113,2018,302.0
RS113,2017,292.0
RS113,2016,291.0
RS113,2015,288.0
RS113,2014,268.0
RS113,2013,266.0
RS212,2021,978.0
RS212,2020,906.0
RS212,2019,823.0
RS212,2018,781.0
RS212,2017,720.0
RS212,2016,657.0
RS212,2015,611.0
RS212,2014,572.0
RS212,2013,535.0
RS214,2021,998.0
RS214,2020,936.0
RS214,2019,818.0
RS214,2018,760.0
RS214,2017,743.0
RS214,2016,717.0
RS214,2015,685.0
RS214,2014,671.0
RS214,2013,635.0